token,pilot_count,full_corpus_count,full_corpus_pages,dominant_section
shey,56,278,98,B
ar,46,408,117,S
ol,46,564,130,B
qokeey,46,307,80,S
qokain,46,279,47,B
shedy,45,434,73,B
chedy,44,507,87,S
daiin,38,852,206,H
dar,38,324,141,H
or,37,393,136,H
s,34,360,158,H
chol,34,397,149,H
aiin,34,507,130,S
qokeedy,32,307,55,B
chey,31,353,120,S
dain,29,214,99,H
al,29,261,86,S
okeey,28,184,76,S
y,24,329,142,H
qokedy,24,276,63,B
otar,24,153,74,S
ain,22,116,54,S
oteey,21,145,66,S
o,21,211,112,H
dal,21,242,112,H
otedy,21,165,58,S
l,21,194,76,S
qokal,21,197,62,B
dy,21,282,144,H
r,19,173,95,H
qokey,18,108,49,S
oteedy,18,106,48,S
cheey,17,185,83,S
okain,15,141,53,S
qoky,15,146,70,B
okaiin,14,216,97,S
sheol,14,108,62,S
okedy,14,120,52,B
chckhy,14,141,77,H
qol,14,142,37,B
chor,13,211,108,H
cheol,13,173,89,S
shckhy,13,60,29,B
sar,12,81,55,S
okal,12,156,84,S
okar,12,140,67,S
dair,11,112,73,H
oty,11,118,79,H
shol,10,186,103,H
okeedy,10,111,56,S
okeol,10,64,37,P
otal,10,137,71,S
otey,10,60,42,S
otody,10,26,18,C
keedy,10,62,34,S
chy,9,164,105,H
oky,9,104,80,H
keey,9,56,42,S
am,9,86,54,S
chcthy,9,81,57,H
qokar,9,159,67,S
ckhey,8,28,20,H
odaiin,8,67,48,H
chal,8,49,32,S
qokol,8,98,59,H
qotar,8,64,38,S
air,8,84,54,S
okey,8,65,41,S
lchedy,8,116,37,S
oly,8,61,37,B
rain,8,22,15,S
sho,7,125,76,H
oiin,7,38,28,S
cthy,7,103,58,H
qo,7,53,40,H
shdy,7,45,33,H
sal,7,49,39,B
sain,7,64,36,S
okchdy,7,28,20,C
sheedy,7,83,44,B
otain,7,96,43,S
qokaiin,7,265,69,S
d,6,71,41,H
okol,6,78,61,H
qotedy,6,89,43,B
saiin,6,127,76,H
tol,6,45,34,H
sheey,6,149,80,S
okees,6,19,15,C
sol,6,67,45,B
shy,6,98,69,H
ches,6,42,34,S
lshedy,6,40,26,B
lchey,6,49,33,B
shcthy,6,32,18,B
chdy,5,147,68,H
otol,5,82,66,H
cho,5,81,59,H
cthol,5,56,39,H
ok,5,13,12,H
dam,5,88,64,H
cham,5,17,15,H
qoty,5,88,55,H
cheor,5,94,62,H
lo,5,20,14,S
ldy,5,25,21,B
daiir,5,25,23,H
ykeey,5,57,47,H
chdar,5,24,18,S
okeo,5,19,16,Z
ary,5,26,22,S
oteeos,5,14,12,Z
aiir,5,29,20,S
qotal,5,59,37,B
oteody,5,41,28,Z
ody,5,48,38,H
olar,5,17,13,S
okody,5,17,11,C
lshey,5,17,12,S
pchedy,5,36,29,B
lor,5,39,29,S
olkeey,5,38,25,B
oldy,5,30,22,B
qoteey,5,42,30,S
qoteedy,5,77,40,B
okor,5,35,29,H
om,5,22,19,S
qokeol,5,50,33,P
chl,5,30,22,S
raiin,5,64,35,S
shar,4,34,29,S
cthar,4,17,13,H
